delta	depth_index	found_depth	found_length	known_length	owner_rank	puzzle_id	run_puzzle_id	solution_path	source_file	source_index	source_solution	variant
5	74	75	80	75	2	476	476	F.BR.BR.U.-D.-L.R.DL.B.-FL.F.-BR.R.B.-BR.FR.U.-B.U.F.R.-BR.DR.-FR.-DR.FR.-D.DL.B.-D.-R.-F.-FR.BL.DL.L.FL.FL.-L.F.-DL.-D.F.FL.-L.FL.-L.DL.-L.-L.F.-DL.FL.D.FL.D.DL.-FL.-L.DL.-B.-BL.-B.-D.-FL.B.BL.-DL.FL.D.B.DL.B.-DL.-DL.-BL.-B.-BL.DR.B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
5	74	75	80	75	3	476	476	F.BR.BR.U.-D.-L.R.DL.B.-FL.F.-BR.R.B.-BR.FR.U.-B.U.F.R.-BR.DR.-FR.-DR.FR.-D.DL.B.-D.-R.-F.-FR.BL.DL.L.FL.FL.-L.F.-DL.-D.F.FL.-L.FL.-L.DL.-L.-L.F.FL.-DL.-DL.-D.FL.D.FR.D.-FR.-FL.-B.-DL.-L.-DL.-FL.L.DL.B.-L.FL.DL.-BL.DL.DL.D.-DL.-BL.DR.B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
0	71	72	75	75	2	476	9976001	R.BR.-DR.D.DR.-BR.-D.DR.-BR.-FR.-R.DR.R.-DR.-R.-B.-DR.B.D.-FR.B.BR.-D.B.-DR.-BR.-DR.FR.-B.FR.-FL.FR.-DR.FL.-F.-L.-DL.-L.DL.B.DR.-B.-U.D.-BL.U.BL.DL.B.FL.-BL.DL.L.U.DR.BL.F.DR.-BR.DL.-DR.-D.DR.FR.-D.-R.-F.-BR.U.FR.B.L.-F.-F.FL	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	1	F.BR.BR.U.-D.-L.R.DL.B.-FL.F.-BR.R.B.-BR.FR.U.-B.U.F.R.-BR.DR.-FR.-DR.FR.-D.DL.B.-D.-R.-F.-FR.BL.DL.L.FL.FL.-L.F.-DL.-D.F.FL.-L.FL.-L.DL.-L.-L.F.-DL.FL.D.FL.D.DL.-FL.-L.DL.-B.-BL.-B.-D.-FL.B.BL.-DL.FL.D.B.DL.B.-DL.-DL.-BL.-B.-BL.DR.B	reflected
0	71	72	75	75	2	476	9976001	R.BR.-DR.D.DR.-D.-BR.DR.-BR.-FR.-R.DR.R.-DR.-R.-B.-DR.B.D.-FR.B.BR.-D.B.-DR.-BR.-DR.FR.-B.FR.-FL.FR.-DR.FL.-F.-L.-DL.-L.DL.B.DR.-B.-U.D.-BL.U.BL.DL.B.FL.-BL.DL.L.U.DR.BL.F.DR.-BR.DL.-DR.-D.DR.FR.-D.-R.-F.-BR.U.FR.B.L.-F.-F.FL	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	1	F.BR.BR.U.-D.-L.R.DL.B.-FL.F.-BR.R.B.-BR.FR.U.-B.U.F.R.-BR.DR.-FR.-DR.FR.-D.DL.B.-D.-R.-F.-FR.BL.DL.L.FL.FL.-L.F.-DL.-D.F.FL.-L.FL.-L.DL.-L.-L.F.-DL.FL.D.FL.D.DL.-FL.-L.DL.-B.-BL.-B.-D.-FL.B.BL.-DL.FL.D.B.DL.B.-DL.-DL.-BL.-B.-BL.DR.B	reflected
2	71	72	77	75	0	476	9976001	R.DR.D.FR.-DR.-BR.DR.F.-R.BR.R.-F.R.-BR.-R.-R.-FR.-DR.R.B.DR.R.BR.-R.-D.-FR.-R.B.FR.-D.-BR.-B.D.DR.DR.-FL.FR.FL.D.-DR.-F.-L.-DL.-L.-U.DL.DL.B.FL.-DR.-R.-BL.-DR.DL.R.U.L.U.BL.F.-BR.-R.-DR.DL.-D.DR.-BR.FR.-F.U.-D.L.FR.-F.-F.FL.B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	1	F.BR.BR.U.-D.-L.R.DL.B.-FL.F.-BR.R.B.-BR.FR.U.-B.U.F.R.-BR.DR.-FR.-DR.FR.-D.DL.B.-D.-R.-F.-FR.BL.DL.L.FL.FL.-L.F.-DL.-D.F.FL.-L.FL.-L.DL.-L.-L.F.-DL.FL.D.FL.D.DL.-FL.-L.DL.-B.-BL.-B.-D.-FL.B.BL.-DL.FL.D.B.DL.B.-DL.-DL.-BL.-B.-BL.DR.B	reflected
2	71	72	77	75	0	476	9976001	FL.R.BR.-DR.D.DR.-BR.-D.DR.-FL.-BR.-FR.-R.DR.R.-DR.-R.-B.-DR.B.D.-FR.B.BR.-D.B.-DR.-BR.-DR.FR.-B.FR.-FL.FR.-DR.FL.-F.-L.-DL.-L.DL.B.DR.-B.-U.D.-BL.U.BL.DL.B.FL.-BL.DL.L.U.DR.BL.F.DR.-BR.DL.-DR.-D.DR.FR.-D.-R.-F.-BR.U.FR.B.L.-F.-F.FL	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	1	F.BR.BR.U.-D.-L.R.DL.B.-FL.F.-BR.R.B.-BR.FR.U.-B.U.F.R.-BR.DR.-FR.-DR.FR.-D.DL.B.-D.-R.-F.-FR.BL.DL.L.FL.FL.-L.F.-DL.-D.F.FL.-L.FL.-L.DL.-L.-L.F.-DL.FL.D.FL.D.DL.-FL.-L.DL.-B.-BL.-B.-D.-FL.B.BL.-DL.FL.D.B.DL.B.-DL.-DL.-BL.-B.-BL.DR.B	reflected
2	71	72	77	75	0	476	9976001	R.BR.-DR.D.DR.DR.-DR.-D.-BR.DR.-BR.-FR.-R.DR.R.-DR.-R.-B.-DR.B.D.-FR.B.BR.-D.B.-DR.-BR.-DR.FR.-B.FR.-FL.FR.-DR.FL.-F.-L.-DL.-L.DL.B.DR.-B.-U.D.-BL.U.BL.DL.B.FL.-BL.DL.L.U.DR.BL.F.DR.-BR.DL.-DR.-D.DR.FR.-D.-R.-F.-BR.U.FR.B.L.-F.-F.FL	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	1	F.BR.BR.U.-D.-L.R.DL.B.-FL.F.-BR.R.B.-BR.FR.U.-B.U.F.R.-BR.DR.-FR.-DR.FR.-D.DL.B.-D.-R.-F.-FR.BL.DL.L.FL.FL.-L.F.-DL.-D.F.FL.-L.FL.-L.DL.-L.-L.F.-DL.FL.D.FL.D.DL.-FL.-L.DL.-B.-BL.-B.-D.-FL.B.BL.-DL.FL.D.B.DL.B.-DL.-DL.-BL.-B.-BL.DR.B	reflected
2	71	72	77	75	0	476	9976001	FL.R.BR.-DR.D.DR.-BR.-D.-FL.DR.-BR.-FR.-R.DR.R.-DR.-R.-B.-DR.B.D.-FR.B.BR.-D.B.-DR.-BR.-DR.FR.-B.FR.-FL.FR.-DR.FL.-F.-L.-DL.-L.DL.B.DR.-B.-U.D.-BL.U.BL.DL.B.FL.-BL.DL.L.U.DR.BL.F.DR.-BR.DL.-DR.-D.DR.FR.-D.-R.-F.-BR.U.FR.B.L.-F.-F.FL	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	1	F.BR.BR.U.-D.-L.R.DL.B.-FL.F.-BR.R.B.-BR.FR.U.-B.U.F.R.-BR.DR.-FR.-DR.FR.-D.DL.B.-D.-R.-F.-FR.BL.DL.L.FL.FL.-L.F.-DL.-D.F.FL.-L.FL.-L.DL.-L.-L.F.-DL.FL.D.FL.D.DL.-FL.-L.DL.-B.-BL.-B.-D.-FL.B.BL.-DL.FL.D.B.DL.B.-DL.-DL.-BL.-B.-BL.DR.B	reflected
2	71	72	77	75	0	476	9976001	R.BR.-DR.D.DR.DR.-DR.-BR.-D.DR.-BR.-FR.-R.DR.R.-DR.-R.-B.-DR.B.D.-FR.B.BR.-D.B.-DR.-BR.-DR.FR.-B.FR.-FL.FR.-DR.FL.-F.-L.-DL.-L.DL.B.DR.-B.-U.D.-BL.U.BL.DL.B.FL.-BL.DL.L.U.DR.BL.F.DR.-BR.DL.-DR.-D.DR.FR.-D.-R.-F.-BR.U.FR.B.L.-F.-F.FL	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	1	F.BR.BR.U.-D.-L.R.DL.B.-FL.F.-BR.R.B.-BR.FR.U.-B.U.F.R.-BR.DR.-FR.-DR.FR.-D.DL.B.-D.-R.-F.-FR.BL.DL.L.FL.FL.-L.F.-DL.-D.F.FL.-L.FL.-L.DL.-L.-L.F.-DL.FL.D.FL.D.DL.-FL.-L.DL.-B.-BL.-B.-D.-FL.B.BL.-DL.FL.D.B.DL.B.-DL.-DL.-BL.-B.-BL.DR.B	reflected
2	71	72	77	75	0	476	9976001	-FL.R.BR.-DR.D.DR.-BR.-D.FL.DR.-BR.-FR.-R.DR.R.-DR.-R.-B.-DR.B.D.-FR.B.BR.-D.B.-DR.-BR.-DR.FR.-B.FR.-FL.FR.-DR.FL.-F.-L.-DL.-L.DL.B.DR.-B.-U.D.-BL.U.BL.DL.B.FL.-BL.DL.L.U.DR.BL.F.DR.-BR.DL.-DR.-D.DR.FR.-D.-R.-F.-BR.U.FR.B.L.-F.-F.FL	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	1	F.BR.BR.U.-D.-L.R.DL.B.-FL.F.-BR.R.B.-BR.FR.U.-B.U.F.R.-BR.DR.-FR.-DR.FR.-D.DL.B.-D.-R.-F.-FR.BL.DL.L.FL.FL.-L.F.-DL.-D.F.FL.-L.FL.-L.DL.-L.-L.F.-DL.FL.D.FL.D.DL.-FL.-L.DL.-B.-BL.-B.-D.-FL.B.BL.-DL.FL.D.B.DL.B.-DL.-DL.-BL.-B.-BL.DR.B	reflected
