source_file	solution_job_id	repair_id	search_depth	window	start_step	target_step	old_segment_len	segment_solved	segment_len	segment_delta	segment_path
solution_repair_segments_9200002_31609.tsv	9200002	9100003	7	11	0	11	11	0	11	0	-f1.d2.f2.-f0.d2.f0.-f2.-d2.f1.-d2.-f0
solution_repair_segments_9200002_31609.tsv	9200002	9100004	7	11	11	16	5	1	5	0	f2.d2.-f2.f0.d2
solution_repair_segments_9200002_31558.tsv	9200002	9100017	1	6	0	6	6	1	6	0	-f1.d2.f2.-f0.d2.f0
solution_repair_segments_9200002_31558.tsv	9200002	9100018	1	6	6	12	6	1	6	0	-f2.-d2.f1.-d2.f2.-f0
solution_repair_segments_9200002_31558.tsv	9200002	9100019	1	6	12	16	4	1	4	0	d2.-f2.f0.d2
solution_repair_segments_9200002_31558.tsv	9200002	9100020	2	7	0	7	7	0	7	0	-f1.d2.f2.-f0.d2.f0.-f2
solution_repair_segments_9200002_31558.tsv	9200002	9100021	2	7	7	14	7	0	7	0	-d2.f1.-d2.-f0.f2.d2.f0
solution_repair_segments_9200002_31558.tsv	9200002	9100022	2	7	14	16	2	1	2	0	-f2.d2
solution_repair_segments_9200002_31558.tsv	9200002	9100023	3	8	0	8	8	1	8	0	-f1.d2.-f0.f2.d2.-f2.f0.-d2
solution_repair_segments_9200002_31558.tsv	9200002	9100024	3	8	8	16	8	0	8	0	f1.-d2.-f0.f2.d2.f0.-f2.d2
solution_repair_segments_9200002_31558.tsv	9200002	9100025	4	9	0	9	9	0	9	0	-f1.d2.f2.-f0.d2.f0.-f2.-d2.f1
solution_repair_segments_9200002_31558.tsv	9200002	9100026	4	9	9	16	7	1	7	0	-d2.-f0.f2.d2.-f2.f0.d2
solution_repair_segments_9200002_31558.tsv	9200002	9100027	5	10	0	10	10	1	10	0	-f1.d2.-f0.f2.d2.-f2.f0.-d2.f1.-d2
solution_repair_segments_9200002_31558.tsv	9200002	9100028	5	10	10	16	6	1	6	0	-f0.f2.d2.-f2.f0.d2
