source_file	solution_job_id	repair_id	puzzle_id	start_step	target_step	old_segment_len	segment_solved	segment_len	segment_delta	segment_path	prefix_path	suffix_path
solution_repair_resident_31615_0_0.tsv	9200001	9100001	1001	0	11	11	1	11	0	-d0.-f0.-r0.-f0.f2.r0.f0.r2.r2.-d2.f0		f1.d1.r1.-r0.-d2.r2.-f2.-f2.r1.f2.d1.f2
solution_repair_resident_31615_0_0.tsv	9200001	9100002	1001	11	22	11	1	11	0	f1.d1.r1.-r0.-d2.r2.f2.f2.r1.f2.d1	-d0.-f0.-r0.-f0.f2.r0.f0.-r2.-r2.-d2.f0	f2
solution_repair_resident_31615_0_0.tsv	9200001	9100003	1001	22	23	1	1	1	0	f2	-d0.-f0.-r0.-f0.f2.r0.f0.-r2.-r2.-d2.f0.f1.d1.r1.-r0.-d2.r2.-f2.-f2.r1.f2.d1	
solution_repair_resident_31615_0_0.tsv	9200002	9100004	1001	0	11	11	1	11	0	-d0.-f0.-r0.-f0.f2.r0.f0.r2.r2.-d2.f1		f0.d1.-r0.r1.-d2.r2.f2.f2.r1.f2.d1.f2
solution_repair_resident_31615_0_0.tsv	9200002	9100005	1001	11	22	11	1	11	0	f0.d1.r1.-r0.-d2.r2.f2.f2.r1.f2.d1	-d0.-f0.-r0.-f0.f2.r0.f0.-r2.-r2.-d2.f1	f2
solution_repair_resident_31615_0_0.tsv	9200002	9100006	1001	22	23	1	1	1	0	f2	-d0.-f0.-r0.-f0.f2.r0.f0.-r2.-r2.-d2.f1.f0.d1.-r0.r1.-d2.r2.f2.f2.r1.f2.d1	
solution_repair_resident_31615_0_0.tsv	9200003	9100007	1001	0	11	11	1	11	0	-d1.r2.d2.-f2.-r0.f1.r0.f0.-r0.d2.-f2		d1.-r2.f0.r2.-f0.-d0.-f1.r2.-d1.-r2.-d2.f0
solution_repair_resident_31615_0_0.tsv	9200003	9100008	1001	11	22	11	1	11	0	d1.-r2.f0.r2.-f0.-d0.-f1.r2.-d1.-r2.-d2	-d1.r2.d2.-f2.-r0.f1.r0.f0.-r0.d2.-f2	f0
solution_repair_resident_31615_0_0.tsv	9200003	9100009	1001	22	23	1	1	1	0	f0	-d1.r2.d2.-f2.-r0.f1.r0.f0.-r0.d2.-f2.d1.-r2.f0.r2.-f0.-d0.-f1.r2.-d1.-r2.-d2	
solution_repair_resident_31615_0_0.tsv	9200004	9100010	1001	0	11	11	1	11	0	-f0.r1.-d0.-f0.d2.f0.-r2.-f1.-r2.-d1.d0		r0.-d0.d1.r1.-d0.f2.r0.-d1.f1.-d1.-d1.f0
solution_repair_resident_31615_0_0.tsv	9200004	9100011	1001	11	22	11	1	11	0	r0.d1.-d0.r1.-d0.f2.r0.-d1.f1.d1.d1	-f0.r1.-d0.-f0.d2.f0.-r2.-f1.-r2.-d1.d0	f0
solution_repair_resident_31615_0_0.tsv	9200004	9100012	1001	22	23	1	1	1	0	f0	-f0.r1.-d0.-f0.d2.f0.-r2.-f1.-r2.-d1.d0.r0.-d0.d1.r1.-d0.f2.r0.-d1.f1.-d1.-d1	
solution_repair_resident_31615_0_0.tsv	9200005	9100013	1001	0	11	11	1	11	0	-f1.r2.d2.-f0.f2.r2.f1.d0.d0.f0.-r1		-d1.-f0.r2.f0.r0.-f1.-d1.-d1.f0.f1.r1.f0
