solution_path	solution_length	puzzle_id	final_orientation	author_name	submitted_at	submission_id	run_id	solver_commit	record_path	puzzle_directory
clockwise	1	1	original	Алиса Δ	2026-07-29T09:30:00.000Z	019fb398-8a19-7916-8da0-cc635a2fd5d4	run-20260729-original	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	results/v1/toy-cayley/cube_3-3-3/1/2026-07-29/019fb398-8a19-7916-8da0-cc635a2fd5d4.json	puzzles/p0001
clockwise	1	10000	original	load-author-00	2026-07-29T12:00:00.000Z	019fb3a6-764a-73aa-b742-f12ee2edf284	load-baseline-000	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	results/v1/toy-cayley/cube_3-3-3/10000/2026-07-29/019fb3a6-764a-73aa-b742-f12ee2edf284.json	puzzles/p10000
clockwise	1	10001	original	load-author-01	2026-07-29T12:00:01.000Z	019fb3a6-764c-725e-9c3b-49e26591ba8f	load-baseline-001	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	results/v1/toy-cayley/cube_3-3-3/10001/2026-07-29/019fb3a6-764c-725e-9c3b-49e26591ba8f.json	puzzles/p10001
clockwise	1	10002	original	load-author-02	2026-07-29T12:01:22.000Z	019fb3a6-763a-7ef1-8880-af338f122235	load-baseline-082	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	results/v1/toy-cayley/cube_3-3-3/10002/2026-07-29/019fb3a6-763a-7ef1-8880-af338f122235.json	puzzles/p10002
clockwise	1	10003	original	load-author-03	2026-07-29T12:00:03.000Z	019fb3a7-775c-7a8a-8b38-a9798f786d0c	load-baseline-003	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	results/v1/toy-cayley/cube_3-3-3/10003/2026-07-29/019fb3a7-775c-7a8a-8b38-a9798f786d0c.json	puzzles/p10003
clockwise	1	10004	original	load-author-04	2026-07-29T12:00:04.000Z	019fb3a7-7704-7544-9699-c2f44c397617	load-baseline-004	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	results/v1/toy-cayley/cube_3-3-3/10004/2026-07-29/019fb3a7-7704-7544-9699-c2f44c397617.json	puzzles/p10004
clockwise	1	10005	original	load-author-05	2026-07-29T12:01:25.000Z	019fb3a7-76ae-7534-97c7-1f5f34f0e406	load-baseline-085	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	results/v1/toy-cayley/cube_3-3-3/10005/2026-07-29/019fb3a7-76ae-7534-97c7-1f5f34f0e406.json	puzzles/p10005
clockwise	1	10006	original	load-author-06	2026-07-29T12:00:06.000Z	019fb3a6-763d-7269-942b-031374b87632	load-baseline-006	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	results/v1/toy-cayley/cube_3-3-3/10006/2026-07-29/019fb3a6-763d-7269-942b-031374b87632.json	puzzles/p10006
clockwise	1	10007	original	load-author-07	2026-07-29T12:01:27.000Z	019fb3a6-7622-75e4-822b-9b75d09fbb59	load-baseline-087	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	results/v1/toy-cayley/cube_3-3-3/10007/2026-07-29/019fb3a6-7622-75e4-822b-9b75d09fbb59.json	puzzles/p10007
clockwise	1	10008	original	load-author-08	2026-07-29T12:01:28.000Z	019fb3a6-89f6-76b0-abc7-b41a1c8c77b7	load-baseline-088	eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee	results/v1/toy-cayley/cube_3-3-3/10008/2026-07-29/019fb3a6-89f6-76b0-abc7-b41a1c8c77b7.json	puzzles/p10008
