path	size	kind_guess	header	sample
ihes_cube_model/data/sample_submission.csv	1756454	solution_table	initial_state_id,path	0,d2.-f2.-d1.r2.-d1.f0.d0.r0.f2.f2.r0.-f0.r0.-f1.-d0.f1.-r0.-r0.-f2.-d1.f2.-d2.-f2.d2.d0.-r0.-d0.-d1.-f1.-f0.-f0.f1.-r0.f2.-d0.-r0.d0.-f2.d1.r0.-d1.-d1.-f0.d1.-f2.-r1.-f0.r1.f2.-f0.d0.-f0.-d0.f0.f0.f0.-r0.f0.r0.-f0.-r0.f0.f0.f0.d2.f0.-d2.f0.-r0.-d0.r0.d0.f0.-r0.-f0.r0.-f2.-r0.f0.r0.f2.-r0.f0.r0.-f0.d1.r0.-f0.-r0.f0.-d1.-f0.r0.f0.-r0.f0.-r0.-f0
ihes_cube_model/data/test.csv	213564	unknown	initial_state_id,initial_state	"0,""0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,43,40,42,44,45,46,47,48,49,50,51,53,55,52,54,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71"""
ihes_cube_model/logs/solution_repair_resident_31612_0_0.tsv	292	solution_table	"solution_job_id	repair_id	puzzle_id	start_step	target_step	old_segment_len	segment_solved	segment_len	segment_delta	segment_path	prefix_path	suffix_path"	"9200001	9100001	0	0	11	11	1	-1	-12			d2.-r2.r0.d2.d2"
ihes_cube_model/logs/solution_repair_resident_31613_0_0.tsv	185476	solution_table	"solution_job_id	repair_id	puzzle_id	start_step	target_step	old_segment_len	segment_solved	segment_len	segment_delta	segment_path	prefix_path	suffix_path"	"9200001	9100001	0	0	11	11	1	-1	-12			d2.-r2.r0.d2.d2"
ihes_cube_model/logs/solution_repair_resident_31614_0_0.tsv	4879	solution_table	"solution_job_id	repair_id	puzzle_id	start_step	target_step	old_segment_len	segment_solved	segment_len	segment_delta	segment_path	prefix_path	suffix_path"	"9200001	9100001	0	0	11	11	1	11	0	-f1.-r0.r2.d2.r0.-r2.f1.d2.d2.r2.-r0		d2.-r2.r0.d2.d2"
ihes_cube_model/logs/solution_repair_resident_31615_0_0.tsv	272495	solution_table	"solution_job_id	repair_id	puzzle_id	start_step	target_step	old_segment_len	segment_solved	segment_len	segment_delta	segment_path	prefix_path	suffix_path"	"9200001	9100001	1001	0	11	11	1	11	0	-d0.-f0.-r0.-f0.f2.r0.f0.r2.r2.-d2.f0		f1.d1.r1.-r0.-d2.r2.-f2.-f2.r1.f2.d1.f2"
ihes_cube_model/logs/solution_repair_segments_9200001_31557.tsv	1051	solution_table	"solution_job_id	repair_id	search_depth	window	start_step	target_step	old_segment_len	segment_solved	segment_len	segment_delta	segment_path"	"9200001	9100001	1	6	0	6	6	1	6	0	-f1.r2.-r0.d2.-r2.r0"
ihes_cube_model/logs/solution_repair_segments_9200001_31561.tsv	139	solution_table	"solution_job_id	repair_id	search_depth	window	start_step	target_step	old_segment_len	segment_solved	segment_len	segment_delta	segment_path"	
ihes_cube_model/logs/solution_repair_segments_9200001_31575.tsv	139	solution_table	"solution_job_id	repair_id	search_depth	window	start_step	target_step	old_segment_len	segment_solved	segment_len	segment_delta	segment_path"	
ihes_cube_model/logs/solution_repair_segments_9200001_31591.tsv	139	solution_table	"solution_job_id	repair_id	search_depth	window	start_step	target_step	old_segment_len	segment_solved	segment_len	segment_delta	segment_path"	
