delta	depth_index	found_depth	found_length	known_length	owner_rank	puzzle_id	run_puzzle_id	solution_path	source_file	source_index	source_solution	variant
2	73	74	77	75	5	909	909	DR.-BR.DR.-FR.-D.B.BL.U.-DL.-D.-F.-FL.-F.-FR.U.FL.BL.-F.U.DR.R.DR.-B.-DL.BL.-FL.-D.B.BL.-B.L.BL.-L.-BL.-L.-R.-B.BR.U.L.-BL.-DR.BR.-DR.BR.BR.DR.BR.-DR.BR.R.DR.BR.-DR.-R.-R.FR.-D.FL.-DR.-FR.DR.B.FR.-F.-FL.FR.DR.-B.-DR.D.FL.-DL.F.-FR.DR.FR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
2	73	74	77	75	4	909	909	DR.-BR.DR.-FR.-D.B.BL.U.-DL.-D.-F.-FL.-F.-FR.U.FL.BL.-F.U.DR.R.DR.-B.-DL.BL.-FL.-D.B.BL.-B.L.BL.-L.-BL.-L.-R.-B.BR.U.L.-BL.-DR.BR.-DR.BR.BR.DR.BR.-DR.BR.R.DR.BR.-DR.-R.-R.FR.B.D.-DR.-FR.DR.FR.R.DR.-D.-B.FL.FR.-D.-DR.D.-DL.-R.-FR.DR.FR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
2	73	74	77	75	5	909	909	DR.-BR.DR.-FR.-D.B.BL.U.-DL.-D.-F.-FL.-F.-FR.U.FL.BL.-F.U.DR.R.DR.-B.-DL.BL.-FL.-D.B.BL.-B.L.BL.-L.-BL.-L.-R.-B.BR.U.L.-BL.-DR.BR.-DR.BR.BR.DR.BR.-DR.BR.R.DR.BR.-DR.-R.-R.FR.B.D.-DR.-FR.DR.FR.R.DR.-D.-B.FL.FR.-D.-DR.-R.D.-DL.-FR.DR.FR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
2	73	74	77	75	4	909	909	DR.-BR.DR.-FR.-D.B.BL.U.-DL.-D.-F.-FL.-F.-FR.U.FL.BL.-F.U.DR.R.DR.-B.-DL.BL.-FL.-D.B.BL.-B.L.BL.-L.-BL.-L.-R.-B.BR.U.L.-BL.-DR.BR.-DR.BR.BR.DR.BR.-DR.BR.R.DR.BR.-DR.-R.-R.FR.FL.B.D.-DR.-FR.DR.FR.R.DR.-D.FR.-B.-D.-DR.D.-DL.-R.-FR.DR.FR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
2	72	73	77	75	6	909	909	DR.-BR.DR.-FR.-D.B.BL.U.-DL.-D.-F.-FL.-F.-FR.U.FL.BL.-F.U.DR.R.DR.-B.-DL.BL.-FL.-D.B.BL.-B.L.BL.-L.-BL.-L.-R.-B.BR.U.L.-BL.-DR.BR.-DR.BR.BR.DR.BR.-DR.BR.R.DR.BR.-DR.-R.-R.FR.FL.B.D.-DR.-FR.DR.FR.R.DR.-D.FR.-B.-D.-DR.-R.D.-DL.-FR.DR.FR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
2	73	74	77	75	7	909	909	DR.-BR.DR.-FR.-D.B.BL.U.-DL.-D.-F.-FL.-F.-FR.U.FL.BL.-F.U.DR.R.DR.-B.-DL.BL.-FL.-D.B.BL.-B.L.BL.-L.-BL.-L.-B.BR.U.L.-BL.R.BR.-R.-DR.-BR.-DR.-R.-DR.-BR.-BR.-DR.-R.-R.DR.R.-F.FR.F.FR.-BR.FL.-BR.-DL.B.D.DR.-D.-B.-DR.-BR.R.DR.D.FR.-R.-D.-DR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
2	73	74	77	75	7	909	909	DR.-BR.DR.-FR.-D.B.BL.U.-DL.-D.-F.-FL.-F.-FR.U.FL.BL.-F.U.DR.R.DR.-B.-DL.BL.-FL.-D.B.BL.-B.L.BL.-L.-BL.-L.-B.BR.U.L.-BL.R.BR.-R.-DR.-BR.-DR.-R.-DR.-BR.-BR.-DR.-R.-R.DR.R.-F.FR.F.FR.-BR.FL.-BR.B.D.DR.-D.-B.-DL.-DR.-BR.R.DR.D.FR.-R.-D.-DR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
2	73	74	77	75	5	909	909	DR.-BR.DR.-FR.-D.B.BL.U.-DL.-D.-F.-FL.-F.-FR.U.FL.BL.-F.U.DR.R.DR.-B.-DL.BL.-FL.-D.B.BL.-B.L.BL.-L.-BL.-L.-R.-B.BR.U.L.-BL.-DR.BR.-DR.BR.BR.DR.BR.-DR.BR.R.DR.BR.-DR.-R.-R.FR.FL.B.D.-DR.-FR.DR.FR.R.DR.-D.FR.-B.-DL.-D.-DR.-R.D.-FR.DR.FR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
2	71	72	77	75	7	909	909	DR.-BR.DR.-FR.-D.B.BL.U.-DL.-D.-F.-FL.-F.-FR.U.FL.BL.-F.U.DR.R.DR.-B.-DL.BL.-FL.-D.B.BL.-B.L.BL.-L.-BL.-L.-R.-B.BR.U.L.-BL.-DR.BR.-DR.BR.BR.DR.BR.-DR.BR.R.DR.BR.-DR.-R.-R.FR.B.D.-DR.-FR.DR.FR.R.DR.-D.-B.FL.FR.-DL.-D.-DR.-R.D.-FR.DR.FR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
2	72	73	77	75	0	909	909	DR.-BR.DR.-FR.-D.B.BL.U.-DL.-D.-F.-FL.-F.-FR.U.FL.BL.-F.U.DR.R.DR.-B.-DL.BL.-FL.-D.B.BL.-B.L.BL.-L.-BL.-L.-R.-B.BR.U.L.-BL.-DR.BR.-DR.BR.BR.DR.BR.-DR.BR.R.DR.BR.-DR.-R.-R.FR.-D.FL.-DR.-FR.DR.B.FR.-F.-FL.FR.DR.-B.-DR.D.FL.F.-DL.-FR.DR.FR	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
