puzzle_id	variant	source_index	known_length	found_length	delta	run_puzzle_id	depth_index	found_depth	owner_rank	solution_path	source_solution	source_file
227	original	0	75	75	0	227	71	72	2	-FR.BL.DL.-F.L.-D.-DL.L.FL.-U.DR.R.B.-DR.-BR.DR.BR.F.R.BR.-R.DR.-BR.-BL.U.U.BR.-R.-DR.R.BR.R.BL.F.FR.-D.FL.DL.D.-F.-DR.-R.DR.FL.DR.FR.-FL.-DL.-DL.FL.-BL.D.-FR.-B.-FL.-D.-DR.FR.-FL.-F.-FL.-DL.-D.B.-DR.-D.F.DR.-FR.D.DL.-D.FL.FR.B		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
227	original	0	75	75	0	227	69	70	6	-FR.BL.DL.-F.L.-D.-DL.L.FL.-U.DR.R.B.-DR.-BR.DR.BR.F.R.BR.-R.DR.-BR.-BL.U.U.BR.-R.-DR.R.BR.R.BL.F.FR.-D.FL.DL.D.-F.-DR.-R.DR.FL.DR.FR.-FL.-DL.-DL.FL.-BL.D.-FR.-B.-FL.-D.-DR.FR.-FL.-F.-FL.-DL.-D.B.F.-DR.-D.DR.-FR.D.DL.-D.FL.FR.B		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
227	reflected	1	75	75	0	9727001	71	72	5	-U.-BR.DR.-B.-F.R.BR.U.-BR.-U.-BR.-BL.BR.B.-BR.-BR.-DR.BR.D.B.FR.R.BR.BR.-R.-FR.-DL.DR.D.-DR.-D.DL.B.DR.-BR.-BR.B.DL.-R.-DR.B.D.FR.-DR.F.FR.R.FR.-D.FL.-BL.U.R.-DR.U.-DR.-R.-R.-DR.U.-BR.-R.-F.FL.-L.U.-BR.D.-DL.-BL.-DL.L.L.B.BL	-FR.BL.DL.-F.L.-D.-DL.L.FL.-U.DR.R.B.-DR.-BR.DR.BR.F.R.BR.-R.DR.-BR.-BL.U.U.BR.-R.-DR.R.BR.R.BL.F.FR.-D.FL.DL.D.-F.-DR.-R.DR.FL.DR.FR.-FL.-DL.-DL.FL.-BL.D.-FR.-B.-FL.-D.-DR.FR.-FL.-F.-FL.-DL.-D.B.-DR.-D.F.DR.-FR.D.DL.-D.FL.FR.B	solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
227	reflected	1	75	75	0	9727001	71	72	3	-U.-BR.DR.-F.-B.R.BR.U.-BR.-U.-BR.-BL.BR.B.-BR.-BR.-DR.BR.D.B.FR.R.BR.BR.-R.-FR.-DL.DR.D.-DR.-D.DL.B.DR.-BR.-BR.B.DL.-R.-DR.B.D.FR.-DR.F.FR.R.FR.-D.FL.-BL.U.R.-DR.U.-DR.-R.-R.-DR.U.-BR.-R.-F.FL.-L.U.-BR.D.-DL.-BL.-DL.L.L.B.BL	-FR.BL.DL.-F.L.-D.-DL.L.FL.-U.DR.R.B.-DR.-BR.DR.BR.F.R.BR.-R.DR.-BR.-BL.U.U.BR.-R.-DR.R.BR.R.BL.F.FR.-D.FL.DL.D.-F.-DR.-R.DR.FL.DR.FR.-FL.-DL.-DL.FL.-BL.D.-FR.-B.-FL.-D.-DR.FR.-FL.-F.-FL.-DL.-D.B.-DR.-D.F.DR.-FR.D.DL.-D.FL.FR.B	solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
227	reflected	1	75	75	0	9727001	71	72	3	-U.-F.-BR.DR.-B.R.BR.U.-BR.-U.-BR.-BL.BR.B.-BR.-BR.-DR.BR.D.B.FR.R.BR.BR.-R.-FR.-DL.DR.D.-DR.-D.DL.B.DR.-BR.-BR.B.DL.-R.-DR.B.D.FR.-DR.F.FR.R.FR.-D.FL.-BL.U.R.-DR.U.-DR.-R.-R.-DR.U.-BR.-R.-F.FL.-L.U.-BR.D.-DL.-BL.-DL.L.L.B.BL	-FR.BL.DL.-F.L.-D.-DL.L.FL.-U.DR.R.B.-DR.-BR.DR.BR.F.R.BR.-R.DR.-BR.-BL.U.U.BR.-R.-DR.R.BR.R.BL.F.FR.-D.FL.DL.D.-F.-DR.-R.DR.FL.DR.FR.-FL.-DL.-DL.FL.-BL.D.-FR.-B.-FL.-D.-DR.FR.-FL.-F.-FL.-DL.-D.B.-DR.-D.F.DR.-FR.D.DL.-D.FL.FR.B	solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
227	reflected	1	75	75	0	9727001	70	71	3	-U.-F.-BR.DR.R.-B.BR.U.-BR.-U.-BR.-BL.BR.B.-BR.-BR.-DR.BR.D.B.FR.R.BR.BR.-R.-FR.-DL.DR.D.-DR.-D.DL.B.DR.-BR.-BR.B.DL.-R.-DR.B.D.FR.-DR.F.FR.R.FR.-D.FL.-BL.U.R.-DR.U.-DR.-R.-R.-DR.U.-BR.-R.-F.FL.-L.U.-BR.D.-DL.-BL.-DL.L.L.B.BL	-FR.BL.DL.-F.L.-D.-DL.L.FL.-U.DR.R.B.-DR.-BR.DR.BR.F.R.BR.-R.DR.-BR.-BL.U.U.BR.-R.-DR.R.BR.R.BL.F.FR.-D.FL.DL.D.-F.-DR.-R.DR.FL.DR.FR.-FL.-DL.-DL.FL.-BL.D.-FR.-B.-FL.-D.-DR.FR.-FL.-F.-FL.-DL.-D.B.-DR.-D.F.DR.-FR.D.DL.-D.FL.FR.B	solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
227	reflected	1	75	76	1	9727001	71	72	7	-B.BR.-U.-BR.-R.B.-DR.R.-DR.-BR.DR.U.BR.-U.-BL.BR.BR.B.BR.DR.D.R.BR.BR.DR.BR.-B.BL.B.-DR.D.-FR.-BL.BR.R.-DR.-R.-DR.BR.B.DL.BR.D.-DR.FL.-D.-FR.-D.-DR.B.-BL.U.DR.R.-DR.U.-DR.-R.-R.-DR.U.-BR.-R.-F.FL.-L.U.-BR.D.-DL.-BL.-DL.L.L.B.BL	-FR.BL.DL.-F.L.-D.-DL.L.FL.-U.DR.R.B.-DR.-BR.DR.BR.F.R.BR.-R.DR.-BR.-BL.U.U.BR.-R.-DR.R.BR.R.BL.F.FR.-D.FL.DL.D.-F.-DR.-R.DR.FL.DR.FR.-FL.-DL.-DL.FL.-BL.D.-FR.-B.-FL.-D.-DR.FR.-FL.-F.-FL.-DL.-D.B.-DR.-D.F.DR.-FR.D.DL.-D.FL.FR.B	solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
227	reflected	1	75	76	1	9727001	71	72	4	-B.BR.-U.-BR.B.-R.-DR.R.-DR.-BR.DR.U.BR.-U.-BL.BR.BR.B.BR.DR.D.R.BR.BR.DR.BR.-B.BL.B.-DR.D.-FR.-BL.BR.R.-DR.-R.-DR.BR.B.DL.BR.D.-DR.FL.-D.-FR.-D.-DR.B.-BL.U.DR.R.-DR.U.-DR.-R.-R.-DR.U.-BR.-R.-F.FL.-L.U.-BR.D.-DL.-BL.-DL.L.L.B.BL	-FR.BL.DL.-F.L.-D.-DL.L.FL.-U.DR.R.B.-DR.-BR.DR.BR.F.R.BR.-R.DR.-BR.-BL.U.U.BR.-R.-DR.R.BR.R.BL.F.FR.-D.FL.DL.D.-F.-DR.-R.DR.FL.DR.FR.-FL.-DL.-DL.FL.-BL.D.-FR.-B.-FL.-D.-DR.FR.-FL.-F.-FL.-DL.-D.B.-DR.-D.F.DR.-FR.D.DL.-D.FL.FR.B	solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
227	reflected	1	75	76	1	9727001	71	72	5	-U.-BR.DR.-B.-F.R.BR.U.-BR.-U.-BR.-BL.BR.B.BR.BR.BR.-DR.BR.D.B.FR.R.BR.BR.-R.-FR.-DL.DR.D.-DR.-D.DL.B.DR.-BR.-BR.B.DL.-R.-DR.B.D.FR.-DR.F.FR.R.FR.-D.FL.-BL.U.R.-DR.U.-DR.-R.-R.-DR.U.-BR.-R.-F.FL.-L.U.-BR.D.-DL.-BL.-DL.L.L.B.BL	-FR.BL.DL.-F.L.-D.-DL.L.FL.-U.DR.R.B.-DR.-BR.DR.BR.F.R.BR.-R.DR.-BR.-BL.U.U.BR.-R.-DR.R.BR.R.BL.F.FR.-D.FL.DL.D.-F.-DR.-R.DR.FL.DR.FR.-FL.-DL.-DL.FL.-BL.D.-FR.-B.-FL.-D.-DR.FR.-FL.-F.-FL.-DL.-D.B.-DR.-D.F.DR.-FR.D.DL.-D.FL.FR.B	solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
227	reflected	1	75	76	1	9727001	71	72	5	-U.-F.-BR.DR.-B.R.BR.U.-BR.-U.-BR.-BL.BR.B.BR.BR.BR.-DR.BR.D.B.FR.R.BR.BR.-R.-FR.-DL.DR.D.-DR.-D.DL.B.DR.-BR.-BR.B.DL.-R.-DR.B.D.FR.-DR.F.FR.R.FR.-D.FL.-BL.U.R.-DR.U.-DR.-R.-R.-DR.U.-BR.-R.-F.FL.-L.U.-BR.D.-DL.-BL.-DL.L.L.B.BL	-FR.BL.DL.-F.L.-D.-DL.L.FL.-U.DR.R.B.-DR.-BR.DR.BR.F.R.BR.-R.DR.-BR.-BL.U.U.BR.-R.-DR.R.BR.R.BL.F.FR.-D.FL.DL.D.-F.-DR.-R.DR.FL.DR.FR.-FL.-DL.-DL.FL.-BL.D.-FR.-B.-FL.-D.-DR.FR.-FL.-F.-FL.-DL.-D.B.-DR.-D.F.DR.-FR.D.DL.-D.FL.FR.B	solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
