delta	depth_index	found_depth	found_length	known_length	owner_rank	puzzle_id	run_puzzle_id	solution_path	source_file	source_index	source_solution	variant
2	73	74	77	75	5	541	541	U.DL.-DR.-D.DL.-L.U.-BR.-B.F.BR.-B.-L.F.-FL.U.-BL.-F.-U.-R.-R.D.FR.-L.-FL.-DR.F.R.-DR.-L.BR.-BL.-BR.-FL.D.BL.DL.-L.-BL.-R.FR.FL.-DL.R.-FR.-BR.-DR.L.FR.-D.DR.-BR.-BR.DL.-DR.FL.D.-FR.FL.FR.D.FL.-F.L.-FL.-L.FL.FL.-D.FR.DR.-FR.-FL.-FL.D.FL.-B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
2	73	74	77	75	2	541	541	U.DL.-DR.-D.DL.-L.U.-BR.-B.F.BR.-B.-L.F.-FL.U.-BL.-F.-U.-R.-R.D.FR.-L.-FL.-DR.F.R.-DR.-L.BR.-BL.-BR.-FL.D.BL.DL.-L.-BL.-R.FR.FL.-DL.R.-FR.-BR.-DR.L.FR.-D.DR.-BR.-BR.DL.-DR.FL.D.-FR.FL.FR.D.FL.-F.FL.FL.-D.FR.DR.-FR.-FL.-FL.L.-FL.-L.D.FL.-B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
3	73	74	78	75	7	541	541	U.DL.-DR.-D.DL.-L.U.-BR.-B.F.BR.-B.-L.F.-FL.U.-BL.-F.-U.-R.-R.D.FR.-L.-FL.-DR.F.R.-DR.-L.BR.-BL.-BR.-FL.D.BL.DL.-L.-BL.-R.FR.FL.-DL.R.-FR.-BR.-DR.L.FR.-D.DR.-BR.-BR.DL.-DR.FL.D.-FR.FL.FR.D.FL.-F.L.-FL.-L.-FL.-FL.-FL.-D.FR.DR.-FR.-FL.-FL.D.FL.-B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
3	73	74	78	75	7	541	541	U.DL.-DR.-D.DL.-L.U.-BR.-B.F.BR.-B.-L.F.-FL.U.-BL.-F.-U.-R.-R.D.FR.-L.-FL.-DR.F.R.-DR.-L.BR.-BL.-BR.-FL.D.BL.DL.-L.-BL.-R.FR.FL.-DL.R.-FR.-BR.-DR.L.FR.-D.DR.-BR.-BR.DL.-DR.FL.D.-FR.FL.FR.D.FL.-F.FL.FL.-D.FR.DR.-FR.FL.FL.FL.L.-FL.-L.D.FL.-B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
3	73	74	78	75	4	541	541	U.DL.-DR.-D.DL.-L.U.-BR.-B.F.BR.-B.-L.F.-FL.U.-BL.-F.-U.-R.-R.D.FR.-L.-FL.-DR.F.R.-DR.-L.BR.-BL.-BR.-FL.D.BL.DL.-L.-BL.-R.FR.FL.-DL.R.-FR.-BR.-DR.L.FR.-D.DR.-BR.-BR.DL.-DR.FL.D.-FR.FL.FR.D.FL.-F.FL.FL.-D.FR.DR.-FR.FL.FL.D.-B.FL.L.-FL.-L.FL	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
3	73	74	78	75	0	541	541	U.DL.-DR.-D.DL.-L.U.-BR.-B.F.BR.-B.-L.F.-FL.U.-BL.-F.-U.-R.-R.D.FR.-L.-FL.-DR.F.R.-DR.-L.BR.-BL.-BR.-FL.D.BL.DL.-L.-BL.-R.FR.FL.-DL.R.-FR.-BR.-DR.L.FR.-D.DR.-BR.-BR.DL.-DR.FL.D.-FR.FL.FR.D.FL.-F.FL.FL.-D.FR.DR.-FR.FL.FL.D.FL.L.-FL.-L.FL.-B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
3	73	74	78	75	7	541	541	U.DL.-DR.-D.DL.-L.U.-BR.-B.F.BR.-B.-L.F.-FL.U.-BL.-F.-U.-R.-R.D.FR.-L.-FL.-DR.F.R.-DR.-L.BR.-BL.-BR.-FL.D.BL.DL.-L.-BL.-R.FR.FL.-DL.R.-FR.-BR.-DR.L.FR.-D.DR.-BR.-BR.DL.-DR.FL.D.-FR.FL.FR.D.FL.-F.L.-FL.-L.FL.FL.-D.FR.DR.-FR.FL.FL.FL.D.FL.-B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
2	73	74	77	75	2	541	541	U.DL.-DR.-D.DL.-L.U.-BR.-B.F.BR.-B.-L.F.-FL.U.-BL.-F.-U.-R.-R.D.FR.-L.-FL.-DR.F.R.-DR.-L.BR.-BL.-BR.-FL.D.BL.DL.-L.-BL.-R.FR.FL.-DL.R.-FR.-BR.-DR.L.FR.-D.DR.-BR.-BR.DL.-DR.FL.D.-FR.FL.FR.D.FL.-F.FL.FL.-D.FR.DR.-FR.-FL.-FL.L.-FL.D.-L.FL.-B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
3	73	74	78	75	0	541	541	U.DL.-DR.-D.DL.-L.U.-BR.-B.F.BR.-B.-L.F.-FL.U.-BL.-F.-U.-R.-R.D.FR.-L.-FL.-DR.F.R.-DR.-L.BR.-BL.-BR.-FL.D.BL.DL.-L.-BL.-R.FR.FL.-DL.R.-FR.-BR.-DR.L.FR.-D.DR.-BR.-BR.DL.-DR.FL.D.-FR.FL.FR.D.FL.-F.FL.FL.-D.FR.DR.-FR.FL.FL.D.FL.-B.L.-FL.-L.FL	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
4	73	74	79	75	0	541	541	U.DL.-DR.-D.DL.-L.U.-BR.-B.F.BR.-B.-L.F.-FL.U.-BL.-F.-U.-R.-R.D.FR.-L.-FL.-DR.F.R.-DR.-L.BR.-BL.-BR.-FL.D.BL.DL.-L.-BL.-R.FR.FL.-DL.R.-FR.-BR.-DR.L.FR.-D.DR.-BR.-BR.DL.-DR.FL.D.-FR.FL.FR.D.FL.-F.L.-FL.-L.FL.FL.-D.FR.DR.-FR.-D.D.-FL.-FL.D.FL.-B	solve_bucket_fresh_len75_all_k1_5_bw30m_prebuilt.tsv	0		original
