puzzle_id	variant	source_index	known_length	found_length	delta	run_puzzle_id	depth_index	found_depth	owner_rank	solution_path	source_solution	source_file
219	original	0	75	73	-2	219	69	70	4	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.-B.-BR.U.BL.U.-BR.B.-D.-B.D.-R.-L.-U.L.-DR.-DR.U.BL.-B.-DR.BR.-U.-B.-BL.-BR.BL.BR.BL.FL.B.FL.L.D.FR.-BL.-D.FL.D.D.-DR.-D.-FR.-FL.-B.-D.FR.DR.D.-FR.B		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	73	-2	219	67	68	4	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.-B.-BR.U.BL.U.-BR.B.-D.-B.D.-R.-L.-U.L.-DR.-DR.U.BL.-B.-DR.BR.-U.-B.-BL.-BR.BL.BR.BL.FL.B.FL.L.D.FR.-D.FL.D.-FR.D.-BL.-DR.-D.-FR.-B.-FL.-D.FR.DR.D.B		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	73	-2	219	69	70	3	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.-B.-BR.U.BL.U.-BR.B.-D.-B.D.-R.-L.-U.L.-DR.-DR.U.BL.-B.-DR.BR.-U.-B.-BL.-BR.BL.BR.BL.FL.B.FL.L.D.FR.-D.FL.D.-FR.D.-BL.-DR.-D.-FR.-FL.-B.-D.FR.DR.D.B		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	73	-2	219	69	70	6	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.-B.-BR.U.BL.U.-BR.B.-D.-B.D.-R.-L.-U.L.-DR.-DR.U.BL.-B.-DR.BR.-U.-B.-BL.-BR.BL.BR.BL.FL.B.FL.L.D.FR.-D.FL.D.-FR.D.-DR.-D.-FR.-FL.-B.-D.FR.DR.D.B.-BL		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	73	-2	219	69	70	3	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.-B.-BR.U.BL.U.-BR.B.-D.-B.D.-R.-L.-U.L.-DR.-DR.U.BL.-B.-DR.BR.-U.-B.-BL.-BR.BL.BR.BL.FL.B.FL.L.D.FR.-D.FL.D.-FR.D.-DR.-D.-FR.-FL.-BL.-B.-D.FR.DR.D.B		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	73	-2	219	69	70	5	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.-B.-BR.U.BL.U.-BR.B.-D.-B.D.-R.-L.-U.L.-DR.-DR.U.BL.-B.-DR.BR.-U.-B.-BL.-BR.BL.BR.BL.FL.B.FL.L.D.FR.-D.FL.D.D.-DR.-D.-B.-FR.-FL.-D.FR.DR.D.-FR.B.-BL		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	73	-2	219	69	70	0	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.FL.-B.-BR.U.BL.U.-BR.-R.-DR.-L.-U.L.U.BL.FL.D.-DR.-B.BR.-U.-BL.-BR.FR.BL.BL.L.-BL.B.DR.-D.FL.D.-FR.-D.-R.-FR.FL.-FR.-FL.-D.FR.D.-FL.FR.R.-DR.-B.BR.-DR.D		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	73	-2	219	67	68	5	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.FL.-B.-BR.U.BL.U.-BR.-R.-DR.-L.-U.L.U.BL.FL.D.-DR.-B.BR.-U.-BL.-BR.FR.BL.BL.L.-BL.B.DR.-D.FL.D.-FR.-D.DR.D.-FR.-FL.-D.FL.FR.-DR.-FR.-FL.FR.-DR.-B.BR.-DR.D		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	74	-1	219	69	70	3	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.-B.-BR.U.BL.U.-BR.B.-D.-B.D.-R.-L.-U.DR.DR.L.DR.U.BL.-B.-DR.BR.-U.FL.FL.D.FR.-D.-B.-BL.-BR.BL.BR.BL.L.B.FL.D.-FR.D.-DR.-BL.-D.-B.-FR.-FL.-D.FR.DR.D.B		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	74	-1	219	68	69	4	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.-B.-BR.U.BL.U.-BR.B.-D.-B.D.-R.-L.-U.DR.DR.L.DR.U.BL.-B.-DR.BR.-U.FL.FL.D.FR.-D.-B.-BL.-BR.BL.BR.BL.L.B.FL.D.-FR.D.-DR.-BL.-D.-FR.-B.-FL.-D.FR.DR.D.B		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	74	-1	219	69	70	3	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.-B.-BR.U.BL.U.-BR.B.-D.-B.D.-R.-L.-U.DR.DR.L.DR.U.BL.-B.-DR.BR.-U.FL.FL.D.FR.-D.-B.-BL.-BR.BL.BR.BL.L.B.FL.D.-FR.D.-DR.-D.-FR.-FL.-B.-D.FR.DR.D.B.-BL		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	74	-1	219	69	70	3	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.-B.-BR.U.BL.U.-BR.B.-D.-B.D.-R.-L.-U.DR.DR.L.DR.U.BL.-B.-DR.BR.-U.FL.FL.D.FR.-D.-B.-BL.-BR.BL.BR.BL.L.B.FL.D.-FR.D.-DR.-D.-FR.-FL.-BL.-B.-D.FR.DR.D.B		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
219	original	0	75	74	-1	219	69	70	4	BL.DL.L.-B.-BR.R.-F.R.DR.DR.B.BL.-DL.-L.-FL.-BR.B.U.B.BL.FR.-B.DL.-B.-BR.U.BL.U.-BR.B.-D.-B.D.-R.-L.-U.DR.DR.L.DR.U.BL.-B.-DR.BR.-U.FL.FL.D.FR.-D.-B.-BL.-BR.BL.BR.BL.L.FL.B.D.D.-DR.-D.-B.-FR.-FL.-D.FR.DR.D.-FR.B.-BL		solve_bucket_fresh_len75_remaining_k1_5_bw100m_prebuilt.tsv
